Project, Loss, Chain, Vulnerability, date, transactions
Conic Finance,                3250000.000000,                [1],                Flawed Price Dependency,                1689935711000,                [{'txnHash': '0x8b74995d1d61d3d7547575649136b8765acb22882960f0636941c44ec7bbe146', 'txnHashDate': 1689935711000, 'chainId': 1}]
FFIST Token,                110000.000000,                [56],                Business Logic Flaw,                1689811626000,                [{'txnHash': '0x199c4b88cab6b4b495b9d91af98e746811dd8f82f43117c48205e6332db9f0e0', 'txnHashDate': 1689811626000, 'chainId': 56}]
Rodeo Finance,                888000.000000,                [42161],                Flawed Price Dependency,                1689061525000,                [{'txnHash': '0xb1be5dee3852c818af742f5dd44def285b497ffc5c2eda0d893af542a09fb25a', 'txnHashDate': 1689061525000, 'chainId': 42161}]
Libertify,                452000.000000,                [1, 137],                Reentrancy,                1689060728000,                [{'txnHash': '0xcb0ad9da33ecabf75df0a24aabf8a4517e4a7c5b1b2f11fee3b6a1ad9299a282', 'txnHashDate': 1689061751000, 'chainId': 1}, {'txnHash': '0x7320accea0ef1d7abca8100c82223533b624c82d3e8d445954731495d4388483', 'txnHashDate': 1689060728000, 'chainId': 137}]
Arcadia Finance,                400000.000000,                [10, 1],                Reentrancy,                1688951767000,                [{'txnHash': '0xefc4ac015069fdf9946997be0459db44c0491221159220be782454c32ec2d651', 'txnHashDate': 1688952119000, 'chainId': 1}, {'txnHash': '0xca7c1a0fde444e1a68a8c2b8ae3fb76ec384d1f7ae9a50d26f8bfdd37c7a0afe', 'txnHashDate': 1688951767000, 'chainId': 10}]
CIVNFT,                180000.000000,                [1],                Access Control Issue,                1688829395000,                [{'txnHash': '0x93a033917fcdbd5fe8ae24e9fe22f002949cba2f621a1c43a54f6519479caceb', 'txnHashDate': 1688829395000, 'chainId': 1}]
Shido,                326000.000000,                [56],                Business Logic Flaw,                1687561240000,                [{'txnHash': '0x72f8dd2bcfe2c9fbf0d933678170417802ac8a0d8995ff9a56bfbabe3aa712d6', 'txnHashDate': 1687561240000, 'chainId': 56}]
Pawnfi,                820000.000000,                [1],                Untrusted Input,                1686969851000,                [{'txnHash': '0xe855cc3bad87933bf742fd474bd0ae0ec58d45e9c1a0643b9700dafe8faf0864', 'txnHashDate': 1686969851000, 'chainId': 1}]
Sturdy,                800000.000000,                [1],                Flawed Price Dependency,                1686531995000,                [{'txnHash': '0xeb87ebc0a18aca7d2a9ffcabf61aa69c9e8d3c6efade9e2303f8857717fb9eb7', 'txnHashDate': 1686531995000, 'chainId': 1}]
ERC20TokenBank,                111000.000000,                [1],                Flawed Price Dependency,                1685512463000,                [{'txnHash': '0x578a195e05f04b19fd8af6358dc6407aa1add87c3167f053beb990d6b4735f26', 'txnHashDate': 1685512463000, 'chainId': 1}]
